Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
18.887,0.22082877,3.0
111.17499,2.2799861,3.0
25.739075,0.0,3.0
30.0,3.1415927,3.0
24.485237,2.9775507,3.0
11.095493,0.07205137,3.0
43.16944,0.037085462,3.0
30.637733,1.5707964,3.0
6.5080943,3.1415927,3.0
27.081171,1.332187,3.0
9.652658,8.432204,3.0
109.912094,0.433742,3.0
30.843683,0.38831872,3.0
107.13781,1.7576747,3.0
22.0,3.1415927,3.0
31.955013,2.3635173,3.0
13.496306,0.0,3.0
20.456923,1.3051525,3.0
38.078865,0.10946203,3.0
9.196268,7.6977997,3.0
16.868774,1.0541012,3.0
37.943176,0.36090106,3.0
12.281963,2.313667,3.0
31.0,3.1415927,3.0
20.272026,0.3337574,3.0
59.550488,0.6283553,3.0
50.360813,3.1415927,3.0
34.54012,0.82384074,3.0
0.0,0.0,3.0
36.289307,1.2604089,3.0
152.34702,1.5707964,3.0
1.6537774,0.82384074,3.0
145.38329,0.50677574,3.0
131.30879,0.0685945,3.0
49.91259,1.1014225,3.0
23.6047,0.41497546,3.0
51.29571,0.0,3.0
10.378226,3.3179588,3.0
13.5,1.5707964,3.0
13.618545,6.5170345,3.0
97.05846,0.041800734,3.0
130.2033,0.20764728,3.0
52.22002,0.47012,3.0
21.671635,1.5441682,3.0
84.73485,10.385905,3.0
211.44304,0.5880026,3.0
32.584415,0.7935575,3.0
191.8636,0.85123694,3.0
140.40656,1.4448975,3.0
82.57308,0.92439246,3.0
9.73923,0.4480239,4.0
2.4690757,0.27165774,4.0
1.9667965,0.0,4.0
9.202988,0.2165503,4.0
19.064917,0.27165774,4.0
22.942457,0.13863973,4.0
42.229946,0.0,4.0
6.663572,0.88090295,4.0
112.33075,1.5707964,1.0
5.6598716,2.0409799,1.0
383.04407,0.0,1.0
395.06836,0.20764728,1.0
56.08651,0.06583877,1.0
78.37095,0.49649104,1.0
30.437752,0.0,1.0
3.9363525,0.0,1.0
21.333395,2.181582,1.0
42.061207,0.0,1.0
116.817345,0.762453,1.0
167.8164,0.07677189,1.0
84.88411,1.1911192,1.0
57.099545,0.17636615,1.0
91.4896,0.0,1.0
188.14993,0.09993262,1.0
90.79913,0.19694825,1.0
197.2997,0.014935195,1.0
43.333916,1.6551031,1.0
17.933887,0.23974311,1.0
14.421335,0.59115124,1.0
92.29299,0.69287956,1.0
149.95186,0.0,1.0
45.27998,0.40323505,1.0
134.46384,0.86382246,1.0
0.0,0.0,1.0
22.180025,6.615762,1.0
106.145836,0.5175313,1.0
23.52106,0.0,1.0
0.54335797,0.11351702,1.0
257.5382,0.0,1.0
36.674484,5.0541325,1.0
50.507267,1.1875122,1.0
40.71274,0.7022569,1.0
45.411697,0.0,1.0
6.0567136,0.19176862,1.0
57.306194,0.44317445,1.0
10.040073,0.1479768,1.0
22.96932,0.0,1.0
154.5899,0.24494644,1.0
361.16837,0.0,1.0
49.89367,1.8103557,1.0
36.682262,1.332187,1.0
181.9402,0.020293314,1.0
231.16672,0.2349808,1.0
88.32327,0.4370785,1.0
21.615324,0.34613597,1.0
32.42725,1.4894657,1.0
208.44661,0.010173526,1.0
0.0,0.25900578,1.0
14.950485,0.100781,1.0
39.272877,0.0,1.0
0.0,0.09751581,1.0
53.96753,0.6920524,1.0
54.978863,0.36090106,1.0
1.5462209,1.019299,1.0
84.99251,1.8398384,1.0
1.2170147,0.7853982,1.0
132.83449,0.0,1.0
279.36908,0.1663863,1.0
213.78961,0.2120734,1.0
124.36777,1.6594005,1.0
129.35834,0.49761513,1.0
0.0,0.0,1.0
112.83871,0.12404698,1.0
172.2353,0.052277904,1.0
130.18495,0.91071665,1.0
102.59142,0.17636615,1.0
0.0,0.26625204,1.0
141.22481,0.0,1.0
10.960145,1.9040406,1.0
87.681244,0.61848736,1.0
9.2864685,0.3655182,1.0
184.50018,0.6803458,1.0
32.642494,1.1509163,1.0
12.091078,7.5252705,1.0
54.189495,2.7583084,1.0
3.1425807,0.85843873,1.0
188.88728,0.2120734,1.0
142.52641,0.0,1.0
34.43488,0.026011346,1.0
87.04672,1.1509163,1.0
44.313526,0.7853982,1.0
12.353527,2.2699027,1.0
40.38013,7.8539815,1.0
36.68266,1.5707964,1.0
171.11017,0.6920524,1.0
50.010094,1.6472605,1.0
102.14565,1.1821817,1.0
73.85443,0.81032085,1.0
397.03894,0.45576784,1.0
7.930937,0.0,1.0
14.428572,0.06731387,1.0
141.38504,0.09545372,1.0
302.3176,0.0,1.0
124.06674,0.0,1.0
0.0,0.064981885,1.0
2.4239519,1.279949,1.0
191.58258,0.18620412,1.0
131.40662,0.53823066,1.0
18.0,2.203545,1.0
20.485287,0.15140674,1.0
136.37405,0.6717954,1.0
63.81196,0.8088697,1.0
59.881508,0.8088697,1.0
48.508877,0.1866143,1.0
36.648373,2.1688695,1.0
14.081889,0.9808725,1.0
12.837735,1.8935281,1.0
14.064643,2.1280847,1.0
116.67209,0.0,1.0
373.43405,0.048219964,1.0
124.511955,0.07485985,1.0
96.77737,0.328711,1.0
60.490894,0.08657044,1.0
78.399376,0.08657044,1.0
137.7222,0.2120734,1.0
0.0,0.0,1.0
29.37408,1.3699892,1.0
77.89419,0.69363546,1.0
47.13014,0.0,1.0
28.625143,0.0,5.0
22.67344,2.5420704,5.0
25.091976,4.7854295,5.0
20.741854,2.394637,5.0
36.655872,0.94890285,5.0
16.34441,2.874072,5.0
92.51185,0.49283466,5.0
177.28342,0.07677189,5.0
38.078865,0.0,5.0
60.04754,1.1441689,5.0
57.14424,0.27165774,5.0
14.280724,1.8972147,5.0
43.11451,0.20843598,5.0
140.27798,2.206382,5.0
24.409195,0.7469556,5.0
22.0,1.5707964,5.0
25.948639,1.4157422,5.0
32.195114,1.332187,5.0
52.861237,0.75458914,5.0
102.04678,1.4784007,5.0
36.81753,2.6616995,5.0
26.621078,1.5767571,5.0
19.89633,2.1490192,5.0
65.08864,0.27165774,5.0
157.60919,0.009711537,5.0
0.0,0.0,5.0
22.0,1.5707964,5.0
32.195114,1.332187,5.0
77.945145,0.39697638,5.0
177.74634,0.1663863,5.0
16.534718,0.5036263,5.0
29.488054,1.1635405,5.0
33.053837,3.1097808,5.0
267.5473,0.9066587,5.0
38.592594,0.17636615,5.0
