Speed angle vs. Modulus speed from (100, 302) to (330, 323)
Modulus speed (points/sec)
Speed angle (radians)
0.0,0.49934673,2.0
33.0,-0.0,2.0
65.62012,0.13758674,2.0
0.0,0.13758674,2.0
0.0,-0.28255495,2.0
0.0,-0.28255495,2.0
0.0,0.6857295,2.0
16.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,-1.1071488,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
0.0,0.13552772,2.0
0.0,0.13552772,2.0
0.0,0.13552772,2.0
0.0,0.13552772,2.0
4.58939,0.5123895,2.0
0.0,0.5123895,2.0
0.0,0.5123895,2.0
22.0,-0.0,2.0
38.5,-0.0,2.0
16.5,-0.0,2.0
0.0,-0.41822433,2.0
0.0,-0.41822433,2.0
0.0,-0.41822433,2.0
0.0,0.060782574,2.0
0.0,0.060782574,2.0
0.0,-0.0,2.0
10.5,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
0.0,-0.0,2.0
43.931767,0.20632389,2.0
32.5,-0.0,2.0
0.0,-0.0,2.0
21.5,0.0,2.0
21.5,-0.0,2.0
0.0,-0.49934673,2.0
21.965883,0.20632389,2.0
10.5,0.0,2.0
0.0,0.0,2.0
0.0,0.09454487,2.0
0.0,0.09454487,2.0
0.0,0.6857295,2.0
0.0,0.3042085,2.0
0.0,0.07295997,2.0
0.0,0.07295997,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
0.0,0.2701532,2.0
0.0,-0.0,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
0.0,0.08163634,2.0
33.723137,0.2701532,2.0
0.0,0.2701532,2.0
10.5,-0.0,2.0
0.0,-0.0,2.0
21.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
32.5,0.0,2.0
0.0,0.2715996,2.0
0.0,0.2715996,2.0
26.5,-0.0,2.0
0.0,-0.0,2.0
26.5,0.0,2.0
0.0,0.16925122,2.0
0.0,0.16925122,2.0
0.0,0.16925122,2.0
0.0,0.16925122,2.0
0.0,0.16925122,2.0
0.0,0.16925122,2.0
59.682495,0.15137544,2.0
0.0,0.15137544,2.0
0.0,0.3042085,2.0
11.0,-0.0,2.0
0.0,0.1746722,2.0
11.0,-0.0,2.0
0.0,-0.0,2.0
11.0,-0.0,2.0
11.0,0.0,2.0
0.0,0.0,2.0
0.0,0.15307869,2.0
0.0,0.15307869,2.0
0.0,-0.5562672,2.0
0.0,-1.5707964,2.0
26.5,-0.0,2.0
17.666666,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
18.35756,0.5123895,2.0
18.35756,0.5123895,2.0
49.327984,0.18347995,2.0
32.5,0.0,2.0
10.5,-0.0,2.0
10.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
13.0,0.0,2.0
32.5,-0.0,2.0
0.0,0.11133888,2.0
21.666666,-0.0,2.0
55.0,0.0,2.0
0.0,0.0,2.0
0.0,0.26371184,2.0
