Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
205.26404,2.5199802,1.0
0.0,1.3264037,1.0
84.01636,0.121958606,1.0
0.0,0.8734551,1.0
67.0,0.5549957,1.0
0.0,0.0,1.0
0.0,0.19739556,1.0
0.0,1.9936502,1.0
134.0,0.591439,1.0
0.0,2.0344439,1.0
103.51024,1.2600343,1.0
0.0,1.3117906,1.0
38.470768,0.27295214,1.0
409.8745,0.7360665,1.0
0.0,0.40024066,1.0
0.0,0.024621328,1.0
0.0,0.04430596,1.0
0.0,0.0,1.0
0.0,0.2400176,1.0
202.0,0.5846013,1.0
366.5432,1.2933044,1.0
406.28284,0.0,1.0
0.0,0.26625204,1.0
0.0,0.44432765,1.0
60.38351,0.32236484,1.0
200.07991,1.6824197,1.0
0.0,0.19700745,1.0
0.0,0.37690926,1.0
0.0,0.5549957,1.0
0.0,0.0,1.0
549.7804,1.6094786,1.0
0.0,0.0,1.0
284.62558,3.0008514,1.0
0.0,0.4902375,1.0
38.470768,0.66895163,1.0
34.0,0.9374063,1.0
60.612606,1.5406228,1.0
60.612606,1.5406228,1.0
0.0,0.39342117,1.0
0.0,0.0199249,1.0
0.0,0.4191426,1.0
0.0,0.0,1.0
34.798786,0.5436453,1.0
38.470768,0.16262582,1.0
0.0,6.027727E-4,1.0
0.0,1.9930475,1.0
0.0,3.1415927,1.0
0.0,1.7036722,1.0
0.0,1.3568734,1.0
38.470768,0.80971545,1.0
0.0,0.0,1.0
0.0,0.096839,1.0
0.0,0.96178573,1.0
0.0,1.8474983,1.0
38.470768,0.44581065,1.0
0.0,0.0,1.0
0.0,0.83837885,1.0
38.470768,0.82584214,1.0
287.9676,2.286155,1.0
0.0,1.6322259,1.0
0.0,0.008526482,1.0
0.0,1.1705557,1.0
0.0,0.18572907,1.0
0.0,0.4901678,1.0
207.15211,2.1175363,1.0
0.0,1.3568734,1.0
38.470768,0.30337006,1.0
38.470768,2.1622353,1.0
0.0,1.6558795,1.0
0.0,0.65901154,1.0
38.470768,1.4605316,1.0
0.0,0.2248361,1.0
76.941536,1.8449728,1.0
0.0,1.1097106,1.0
38.470768,0.30337006,1.0
0.0,1.0636978,1.0
135.60709,1.144511,1.0
37.589893,1.1616907,1.0
199.55852,1.2517536,1.0
0.0,1.2557272,1.0
333.68082,0.7541583,1.0
0.0,0.35354197,1.0
0.0,0.42285392,1.0
0.0,0.0,1.0
0.0,1.1760403,1.0
0.0,0.3466085,1.0
0.0,1.1485451,1.0
0.0,5.551115E-17,1.0
0.0,0.28548884,1.0
0.0,0.37012458,1.0
67.0,3.1415927,1.0
0.0,1.1485451,1.0
171.58989,2.3369815,1.0
0.0,1.8474983,1.0
0.0,0.7759363,1.0
60.612606,2.6351976,1.0
0.0,0.0,1.0
0.0,0.38421455,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.6664927,1.0
0.0,0.0,1.0
0.0,0.17434806,1.0
0.0,0.12164548,1.0
0.0,1.1827549,1.0
33.0,1.3230115,1.0
38.470768,1.64275,5.0
206.38512,0.89459735,5.0
0.0,0.80416274,5.0
625.73535,1.463565,5.0
0.0,1.6284248,5.0
0.0,0.8850668,5.0
613.12897,0.4138547,5.0
0.0,0.83606035,5.0
38.470768,0.15130666,5.0
33.0,0.45774648,5.0
122.98134,1.8573525,5.0
433.9259,1.0448456,5.0
25.893394,0.81906444,5.0
25.893394,0.76864,5.0
733.83026,0.5357684,5.0
0.0,1.3131484,5.0
320.5868,0.58502376,5.0
0.0,3.469447E-18,5.0
34.0,0.43985313,5.0
23.917828,1.252207,5.0
241.68494,1.592664,5.0
367.9286,0.0,5.0
0.0,1.1705557,5.0
38.470768,1.7779611,5.0
76.62338,0.64633834,5.0
0.0,2.6399887,5.0
283.88995,1.2367938,5.0
28.814058,2.2455373,5.0
63.933434,0.122323945,5.0
0.0,0.32293028,5.0
0.0,0.41932184,5.0
0.0,0.0,5.0
0.0,0.029891426,5.0
0.0,0.42225116,5.0
21.186796,1.0816035,5.0
112.66426,1.9255438,5.0
54.4601,0.5016041,5.0
0.0,1.143681,5.0
0.0,0.33448195,5.0
0.0,0.0,5.0
0.0,0.40265465,5.0
0.0,0.19012332,5.0
0.0,1.5707964,5.0
0.0,0.0,5.0
0.0,0.5059071,5.0
0.0,1.6212208,5.0
409.84998,1.4848971,5.0
0.0,2.4945455,5.0
409.84998,0.9129077,5.0
0.0,0.5743048,5.0
38.470768,1.5206293,5.0
61.302124,0.05042451,5.0
0.0,1.4934859,5.0
0.0,0.0310304,5.0
0.0,0.5984189,5.0
0.0,2.3249547,5.0
0.0,1.4934859,5.0
0.0,2.220446E-16,5.0
38.470768,2.5855742,5.0
0.0,1.5433223,5.0
38.470768,0.6099364,5.0
0.0,0.97859204,5.0
0.0,0.7541583,5.0
0.0,0.0,5.0
34.0,0.96496814,5.0
78.42809,0.070237584,5.0
0.0,0.34981614,5.0
0.0,0.5017454,5.0
0.0,0.0513833,5.0
0.0,0.0,5.0
24.173584,0.45163918,5.0
0.0,0.14076327,5.0
0.0,0.58973604,5.0
0.0,0.8400039,5.0
44.28368,0.0,5.0
0.0,0.6717954,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.07731039,5.0
0.0,0.07515419,5.0
348.40363,0.40725586,5.0
34.798786,0.5436453,5.0
0.0,0.15935165,5.0
3.0517578E-4,0.54425037,5.0
141.88629,0.92374915,5.0
430.8503,0.2921922,5.0
0.0,2.6399887,5.0
38.470768,2.6172955,5.0
0.0,0.38831872,5.0
0.0,1.4983239,2.0
0.0,0.15865526,2.0
0.0,1.971037,2.0
845.1924,0.0,2.0
0.0,0.024621328,2.0
22.590334,1.3222238,2.0
151.75792,0.0072039184,2.0
0.0,0.05042451,2.0
0.0,0.26625204,2.0
0.0,0.0,2.0
0.0,0.13495424,2.0
0.0,0.019499153,2.0
0.0,0.58229303,2.0
0.0,0.03584122,2.0
34.798786,1.2293748,2.0
0.0,0.05042451,2.0
0.0,0.17286061,2.0
0.0,0.2713346,2.0
0.0,0.49934673,2.0
0.0,0.26625204,2.0
0.0,0.0,2.0
0.0,0.05482306,2.0
0.0,0.07943189,2.0
0.0,0.40024066,2.0
0.0,0.34261224,2.0
0.0,0.09199176,2.0
0.0,0.047709126,2.0
0.0,0.30060568,2.0
0.0,0.30297628,2.0
0.0,0.040979322,2.0
0.0,0.0,2.0
0.0,0.26625204,2.0
0.0,0.2713346,2.0
29.134647,0.66596925,2.0
0.0,0.40024066,2.0
0.0,0.0,2.0
22.14184,0.9491838,2.0
280.58026,0.070866615,2.0
22.590334,0.6488131,2.0
0.0,1.5067441,2.0
0.0,0.40024066,2.0
0.0,0.18682016,2.0
0.0,0.10159993,2.0
0.0,0.08386148,2.0
0.0,0.021422379,2.0
64.684364,1.2600343,2.0
115.41231,3.1188996,2.0
0.0,0.6857295,2.0
0.0,0.057628427,2.0
18.0,1.9871937,2.0
0.0,0.40024066,2.0
0.0,1.5986372,2.0
0.0,1.0816765,2.0
305.32736,0.45062077,2.0
0.0,0.27800158,2.0
0.0,0.50557506,2.0
0.0,0.31647035,2.0
0.0,1.8084693,2.0
0.0,0.09455578,2.0
54.907024,0.4224806,2.0
29.134647,1.0662099,2.0
48.347168,0.0,2.0
48.347168,0.0,2.0
78.42809,0.09485193,2.0
0.0,0.22527273,2.0
37.589893,1.810267,2.0
413.86856,0.45621502,2.0
23.917828,1.5376959,2.0
0.0,0.40725586,2.0
0.0,1.3568734,3.0
76.941536,1.1485451,3.0
0.0,0.0,3.0
0.0,0.6084191,3.0
448.32074,2.4672844,3.0
0.0,0.42839283,3.0
0.0,2.108383,3.0
38.470768,3.1188996,3.0
0.0,0.26625204,3.0
206.56554,0.5436453,3.0
164.57135,1.788284,3.0
