Total angle changed vs. Average speed from (100, 302) to (330, 323)
Average speed (points/sec)
Total angle changed (radians)
5.1143627,0.6572773,1.0
0.0,0.0,1.0
72.520134,0.6055447,1.0
0.0,1.9134369,1.0
0.0,1.1199416,1.0
31.359602,1.6360346,1.0
0.0,0.0,1.0
0.0,0.0,1.0
43.0,1.1901393,1.0
11.0,0.9715641,1.0
0.0,0.1746722,1.0
53.0,0.7361425,1.0
0.0,0.07927803,1.0
0.0,0.007081314,1.0
0.0,0.2087529,1.0
7.6666665,0.0,1.0
31.78935,0.565566,1.0
296.7006,0.60150254,1.0
0.0,1.5707964,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.08352614,1.0
0.0,1.1071488,1.0
31.0,1.856878,1.0
22.0,0.24023597,1.0
0.0,0.1295363,1.0
0.0,0.05738794,1.0
29.841248,0.22467278,1.0
0.0,0.04462162,1.0
4.3,0.5131276,1.0
23.900415,1.9204779,1.0
11.0,0.5667072,1.0
0.0,0.037090182,1.0
230.85168,0.28878248,1.0
0.0,0.10216473,1.0
0.0,0.35820383,1.0
0.0,0.76974183,1.0
24.52795,0.8281983,1.0
37.9824,2.7634206,1.0
0.0,1.720565,1.0
0.0,1.2057118,1.0
26.5,0.34392342,1.0
0.0,0.0,1.0
0.0,0.072301,1.0
0.0,0.15957063,1.0
0.0,0.0,1.0
0.0,0.033245,1.0
0.0,0.100654945,1.0
0.0,0.16820094,1.0
0.0,0.038538706,1.0
0.0,0.7554989,1.0
0.0,0.64776045,1.0
4.562072,3.8045774,1.0
0.0,0.018662523,1.0
60.013695,0.36992666,1.0
25.78997,1.1959783,1.0
0.0,0.016198583,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.1148575,1.0
0.0,0.66104317,1.0
0.0,1.3127334,1.0
0.0,0.6219952,1.0
0.0,0.21273178,1.0
167.41347,0.041941527,1.0
88.44094,1.3672334,1.0
0.0,0.20647442,1.0
62.936478,0.9940292,1.0
22.5,0.6063829,1.0
27.462671,2.7423196,1.0
0.0,0.11878907,1.0
0.0,1.2201111,1.0
0.0,1.2201111,1.0
0.0,0.11878907,1.0
10.6,0.44627178,1.0
0.0,0.72334987,1.0
205.81848,1.2820853,1.0
0.0,0.0043120775,1.0
0.0,0.4883697,1.0
0.0,0.24588344,1.0
59.215378,0.11112258,1.0
6.815567,0.24121335,1.0
11.100754,1.2735255,1.0
15.260959,2.143048,1.0
0.0,3.1415927,1.0
0.0,0.0,1.0
50.68969,3.1415927,1.0
0.0,1.5707964,1.0
0.0,0.49934673,1.0
0.0,0.025598958,1.0
14.447991,1.9803733,1.0
0.0,0.058441754,1.0
0.0,0.05606957,1.0
61.666668,0.36137903,1.0
0.0,0.035699114,1.0
0.0,0.06202383,1.0
0.0,1.1071488,1.0
53.0,0.9423325,1.0
70.055626,0.0,1.0
0.0,0.02739472,1.0
0.0,0.0,1.0
0.0,0.0,1.0
17.498459,1.5707964,1.0
29.841248,1.9277083,1.0
153.90112,0.48957354,1.0
14.454545,0.36524823,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.16265754,1.0
0.0,0.12572366,1.0
0.0,0.0,1.0
0.0,0.0,1.0
56.867905,0.7127235,1.0
0.0,1.544203,1.0
50.08992,1.3134726,1.0
22.111568,2.379591,1.0
33.0,0.42846254,1.0
33.104862,1.2201111,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.042574696,1.0
101.037125,1.005244,1.0
55.76233,1.2793148,1.0
30.353691,0.3681529,1.0
0.0,0.10234837,1.0
260.50433,0.24323383,1.0
0.0,0.0,1.0
0.0,0.13703531,1.0
40.825085,2.3253691,1.0
43.931767,0.57202923,1.0
0.0,2.5352097,1.0
13.712671,0.12009721,1.0
0.0,0.0,1.0
31.622776,0.0,1.0
0.0,0.10234837,1.0
33.0,0.55513936,1.0
0.0,0.62904924,1.0
12.760472,0.2970457,1.0
222.59605,0.28021625,1.0
0.0,0.26625204,1.0
0.0,0.0,1.0
0.0,1.2442149,1.0
0.0,0.033013742,1.0
54.012318,0.8027921,1.0
0.0,0.12761231,1.0
0.0,0.057776242,1.0
0.0,0.15058483,1.0
0.0,0.0,1.0
0.0,0.62062377,1.0
0.0,0.5299639,1.0
0.0,0.80215746,1.0
0.0,0.88242376,1.0
0.0,0.0,1.0
16.5,0.6467889,1.0
0.0,0.0,1.0
180.69312,0.14919327,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.26371184,1.0
0.0,0.26371184,1.0
0.0,0.38307706,1.0
0.0,0.1746722,1.0
0.0,0.0,1.0
0.0,1.3070844,1.0
0.0,0.0,1.0
23.529964,1.8028642,1.0
0.0,0.094460614,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.17034529,1.0
0.0,0.0,1.0
0.0,2.0437028,1.0
0.0,1.1859019,1.0
0.0,0.12727045,1.0
0.0,0.34563616,1.0
0.0,0.08302924,1.0
0.0,0.0017196208,1.0
0.0,0.051657878,1.0
0.0,0.09594547,1.0
0.0,0.05346892,1.0
10.692307,0.66859794,1.0
0.0,0.16925122,1.0
6.9537,1.5707964,1.0
77.32929,1.9936502,1.0
24.97068,1.8993495,1.0
53.63148,0.28872952,1.0
0.0,1.0688065,1.0
11.0,0.06263573,1.0
9.356336,3.1017318,1.0
0.0,0.06143567,1.0
13.25,0.34392342,1.0
0.0,0.42201766,1.0
8.547386,1.5189213,1.0
39.75,1.7454685,1.0
0.0,1.2138844,1.0
6.625,0.43838403,1.0
0.0,1.2818209,1.0
7.571429,1.3708606,1.0
8.833333,1.0017241,1.0
50.51574,0.0,1.0
31.59266,2.908669,1.0
59.682495,1.1902207,1.0
3.7857144,1.3708606,1.0
0.0,1.8345082,1.0
4.077846,0.48957354,1.0
0.0,1.3127334,1.0
37.36225,0.2956827,1.0
0.0,0.0,1.0
26.5,0.43838403,1.0
25.286047,1.4539466,1.0
20.902306,1.8735472,1.0
18.0,3.4190562,1.0
0.0,0.06302238,1.0
20.530708,3.1204221,5.0
0.0,0.49934673,5.0
0.0,0.0,5.0
5.3333335,0.4479009,5.0
33.723137,0.5403064,5.0
0.0,0.0,5.0
0.0,0.9126801,5.0
0.0,0.0,5.0
0.0,1.2890245,5.0
17.994646,1.939485,5.0
0.0,1.0943289,5.0
242.89143,0.41635326,5.0
0.0,0.0,5.0
0.0,0.38307706,5.0
38.003048,1.4361361,5.0
37.59078,0.41299126,5.0
0.0,0.06645425,5.0
53.835377,1.3382394,5.0
4.4,0.69079095,5.0
0.0,1.0437559,5.0
25.02049,0.26649526,5.0
0.0,1.0714496,5.0
13.0,0.13552772,5.0
0.0,0.18164884,5.0
16.25,0.7848787,5.0
