Time still vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Time still (sec)
5.265306,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
6.211799,0.0,3.0
3.2156858,2.0,3.0
1.0692638,0.0,3.0
1.4718615,0.0,3.0
4.446569,1.0,3.0
1.7476201,0.0,3.0
0.0,0.0,3.0
1.8635585,0.0,3.0
0.41977224,0.0,3.0
11.228699,0.0,3.0
3.4148436,0.0,3.0
2.180179,0.0,3.0
2572.3118,0.0,3.0
7.157078,2.0,3.0
6.3537927,1.0,3.0
6.1577606,0.0,3.0
2.6488538,0.0,3.0
8.0771675,0.0,3.0
3.4376307,2.0,3.0
1.3399937,0.0,3.0
2.333331,0.0,3.0
7.242423,7.0,3.0
0.1212103,0.0,3.0
18.432032,8.0,3.0
2.1975298,2.0,3.0
0.32978722,0.0,3.0
3.6936927,0.0,3.0
1.8370361,0.0,3.0
0.121211484,0.0,3.0
1.3333323,0.0,3.0
6.38941,2.0,3.0
4.4320316,2.0,3.0
0.39505947,0.0,3.0
0.99999875,0.0,3.0
1.3333317,0.0,3.0
0.24242324,0.0,3.0
6.7878766,0.0,3.0
2.060606,2.0,3.0
4.6016374,0.0,3.0
16.55598,4.0,3.0
4.012586,0.0,3.0
4.930416,0.0,3.0
8.455666,0.0,3.0
19.634726,11.0,3.0
2.5641122,0.0,3.0
12.273623,4.0,3.0
5.303029,2.0,3.0
1.5634915,0.0,3.0
4.026018,0.0,3.0
1.5851836,0.0,3.0
5.7110434,2.0,3.0
9.265306,4.0,3.0
16.265306,6.0,3.0
5.0,0.0,3.0
0.8051948,0.0,3.0
14.150296,0.0,3.0
8.586557,2.0,3.0
11.663447,0.0,3.0
1.837035,0.0,3.0
1.3777771,0.0,3.0
6.39506,0.0,3.0
4.385281,2.0,3.0
2.6268475,0.0,3.0
2.730837,0.0,3.0
8.318742,4.0,3.0
2.8912907,0.0,3.0
12.585184,4.0,3.0
0.81287754,0.0,3.0
29.290648,0.0,3.0
9.871217,0.0,3.0
0.24242331,0.0,3.0
4.3102307,0.0,3.0
8.540541,4.0,3.0
5.643564,2.0,3.0
1.5135134,0.0,3.0
22.735617,11.0,3.0
0.18181722,0.0,3.0
0.31874052,0.0,3.0
4.1703677,2.0,3.0
1.3333327,0.0,3.0
3.7878776,2.0,3.0
0.6111107,0.0,3.0
4.393735,0.0,3.0
1.0027245,0.0,3.0
0.0,0.0,3.0
2.3396225,0.0,3.0
2.4339616,0.0,3.0
2.1975298,2.0,3.0
2.1211383,0.0,3.0
1.648855,0.0,3.0
4.772602,0.0,3.0
7.157078,2.0,3.0
3.287129,0.0,3.0
24.108912,13.0,3.0
0.1975301,0.0,3.0
30.377777,8.0,3.0
1.711108,0.0,3.0
3.4747694,0.0,3.0
1.3750881,0.0,3.0
0.35690287,0.0,3.0
9.24198,4.0,3.0
1.0442876,0.0,3.0
3.882388,2.0,3.0
0.75824136,0.0,3.0
0.45925882,0.0,3.0
0.72287124,0.0,3.0
13.42083,8.0,4.0
435.8719,2.0,4.0
847.35614,0.0,4.0
20.255047,2.0,4.0
34.660034,7.0,4.0
7.2705426,0.0,4.0
10.229708,0.0,4.0
22.450293,0.0,4.0
2.2782872,0.0,1.0
11.71111,10.0,1.0
1.3013878,0.0,1.0
1.8650544,0.0,1.0
4.140958,3.0,1.0
6.942207,0.0,1.0
9.396227,4.0,1.0
133.87238,0.0,1.0
8.121212,5.0,1.0
0.76823163,0.0,1.0
4.5724874,0.0,1.0
9.621971,0.0,1.0
3.0482526,0.0,1.0
3.2453465,0.0,1.0
2.6741316,0.0,1.0
2.394875,0.0,1.0
0.7288724,0.0,1.0
1.3777769,0.0,1.0
1.773813,0.0,1.0
1.3844805,0.0,1.0
9.979276,8.0,1.0
3.697788,0.0,1.0
7.0101647,0.0,1.0
2.0497823,0.0,1.0
6.974443,0.0,1.0
0.0,0.0,1.0
5.098765,0.0,1.0
6.1259236,0.0,1.0
5.2666802,4.0,1.0
228.33318,0.0,1.0
5.7598314,0.0,1.0
5.181818,1.0,1.0
1.6133331,0.0,1.0
0.13506633,0.0,1.0
0.18181702,0.0,1.0
6.764069,6.0,1.0
0.64285755,0.0,1.0
3.2962942,3.0,1.0
15.154725,13.0,1.0
0.260898,0.0,1.0
5.15398,0.0,1.0
2.1259248,0.0,1.0
2.134534,0.0,1.0
1.7925919,0.0,1.0
1.0062443,0.0,1.0
0.45925903,0.0,1.0
0.36363274,0.0,1.0
11.675759,9.0,1.0
0.25813407,0.0,1.0
1.0,1.0,1.0
15.886076,3.0,1.0
6.4421053,2.0,1.0
0.0,0.0,1.0
0.36363575,0.0,1.0
0.21997593,0.0,1.0
117.56351,0.0,1.0
8.16534,0.0,1.0
3.0987656,3.0,1.0
0.24242234,0.0,1.0
0.99528533,0.0,1.0
0.45925888,0.0,1.0
5.1754665,0.0,1.0
2.6439393,0.0,1.0
0.0,0.0,1.0
0.25813374,0.0,1.0
1.255814,0.0,1.0
1.688513,1.0,1.0
0.82178223,0.0,1.0
3.0,3.0,1.0
7.035244,2.0,1.0
2.6666658,2.0,1.0
0.33333293,0.0,1.0
13.333333,10.0,1.0
1.7272731,0.0,1.0
2.6666658,2.0,1.0
8.181817,3.0,1.0
0.7925921,0.0,1.0
1.121212,1.0,1.0
1.6633453,0.0,1.0
1.3777766,0.0,1.0
3.2518506,2.0,1.0
0.99999887,0.0,1.0
1.1259248,0.0,1.0
13.296293,7.0,1.0
6.504849,0.0,1.0
3.5620825,0.0,1.0
4.142532,0.0,1.0
8.280582,0.0,1.0
5.545339,0.0,1.0
1.6666657,0.0,1.0
1.0152771,0.0,1.0
10.465346,8.0,1.0
5.7524753,0.0,1.0
7.939538,0.0,1.0
2.4217358,0.0,1.0
1.9999987,0.0,1.0
3.0,3.0,1.0
9.999999,9.0,1.0
0.18181632,0.0,1.0
1.3984383,0.0,1.0
1.0,0.0,1.0
2.503702,0.0,1.0
9.234644,0.0,1.0
1.9185165,0.0,1.0
2.0444424,0.0,1.0
0.29629412,0.0,1.0
10.593723,0.0,1.0
6.8476543,0.0,1.0
7.467799,2.0,1.0
