Speed in Y direction vs. Modulus speed from (330, 343) to (560, 364)
Modulus speed (points/sec)
Speed in Y direction (points/sec)
29.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
29.0,0.0,2.0
0.0,0.0,2.0
16.37834,8.5,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.37834,8.5,2.0
29.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
14.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
33.61547,17.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
31.5,0.0,2.0
0.0,0.0,2.0
29.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
14.0,0.0,3.0
0.0,0.0,3.0
28.30636,8.5,3.0
14.0,0.0,3.0
0.0,0.0,3.0
41.87183,8.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
31.906113,17.0,3.0
0.0,0.0,3.0
85.0,0.0,3.0
20.146685,5.6666665,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
13.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
65.25335,17.0,3.0
38.013157,17.0,3.0
0.0,0.0,3.0
58.0,0.0,3.0
58.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.37834,8.5,3.0
16.37834,8.5,3.0
0.0,0.0,3.0
13.5,0.0,3.0
41.87183,8.5,3.0
0.0,0.0,3.0
13.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.953056,8.5,3.0
15.953056,8.5,3.0
0.0,0.0,3.0
5.6666665,5.6666665,3.0
4.25,4.25,3.0
13.5,0.0,3.0
8.5,8.5,3.0
15.953056,8.5,3.0
0.0,0.0,3.0
56.0,0.0,3.0
0.0,0.0,3.0
8.5,8.5,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
11.694684,2.125,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
