Amount of time disappeared from the tracking system vs. Modulus speed from (790, 302) to (1020, 323)
Modulus speed (points/sec)
Amount of time disappeared from the tracking system (sec)
0.0,1.0,1.0
1.0,33.0,1.0
19.235384,2.0,5.0
0.0,2.0,5.0
12.823589,3.0,5.0
0.0,1.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
70.34202,1.0,5.0
17.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
67.601776,2.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
16.5,2.0,5.0
102.59142,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
35.17101,2.0,5.0
17.0,2.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
50.803543,2.0,5.0
0.0,10.0,5.0
50.803543,2.0,5.0
19.235384,2.0,5.0
0.0,2.0,5.0
38.470768,1.0,5.0
0.0,1.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,3.0,5.0
19.235384,2.0,5.0
0.0,3.0,5.0
0.0,3.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,28.0,5.0
0.0,20.0,5.0
19.235384,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
19.235384,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
17.0,2.0,5.0
19.235384,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
38.470768,1.0,2.0
12.823589,3.0,2.0
6.4117947,6.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
9.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,3.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
18.794947,2.0,2.0
0.0,5.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
19.235384,2.0,3.0
19.235384,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,1.0,3.0
0.0,3.0,3.0
26.8,5.0,3.0
28.0,6.0,3.0
0.0,2.0,3.0
0.0,11.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
23.125263,3.0,3.0
16.5,2.0,3.0
50.803543,2.0,3.0
0.0,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,24.0,3.0
0.0,2.0,3.0
19.235384,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
50.803543,2.0,3.0
50.803543,2.0,3.0
12.823589,3.0,3.0
0.0,2.0,3.0
67.0,2.0,3.0
0.0,3.0,3.0
134.0,1.0,3.0
0.0,5.0,3.0
0.0,1.0,3.0
0.0,22.0,3.0
0.0,3.0,3.0
8.933333,15.0,3.0
25.401772,4.0,3.0
0.0,2.0,3.0
23.44734,3.0,3.0
33.5,2.0,3.0
0.0,1.0,3.0
0.0,2.0,3.0
0.0,3.0,3.0
0.0,1.0,3.0
34.0,2.0,3.0
34.20526,2.0,3.0
0.0,1.0,3.0
0.0,1.0,3.0
4.6987367,8.0,3.0
68.0,1.0,3.0
0.0,1.0,3.0
