X,Y,Z,Date And Time,Phone Id's
459,347,0,24/09/2014 11:02:39,HT25TW5055273593c875a9898b00
459,347,0,24/09/2014 11:02:39,HT25TW5055273593c875a9898b00
374,320,0,24/09/2014 11:02:40,ZX1B23QBS53771758c578bbd85
274,347,0,24/09/2014 11:02:40,TA92903URNf067ff16fcf8e045
340,320,0,24/09/2014 11:02:40,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:02:41,HT25TW5055273593c875a9898b00
374,302,0,24/09/2014 11:02:42,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:02:42,YT910K6675876ded0861342065
274,320,0,24/09/2014 11:02:42,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:02:42,TA92903URNf067ff16fcf8e045
403,320,0,24/09/2014 11:02:42,HT25TW5055273593c875a9898b00
514,302,0,24/09/2014 11:02:44,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:02:44,HT25TW5055273593c875a9898b00
340,302,0,24/09/2014 11:02:44,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:02:44,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:02:45,HT25TW5055273593c875a9898b00
432,320,0,24/09/2014 11:02:45,ZX1B23QBS53771758c578bbd85
340,302,0,24/09/2014 11:02:46,ZX1B23QFSP48abead89f52e3bb
274,347,0,24/09/2014 11:02:46,TA92903URNf067ff16fcf8e045
374,302,0,24/09/2014 11:02:47,HT25TW5055273593c875a9898b00
403,302,0,24/09/2014 11:02:48,ZX1B23QBS53771758c578bbd85
403,320,0,24/09/2014 11:02:48,ZX1B23QFSP48abead89f52e3bb
221,347,0,24/09/2014 11:02:48,TA92903URNf067ff16fcf8e045
374,320,0,24/09/2014 11:02:48,HT25TW5055273593c875a9898b00
514,302,0,24/09/2014 11:02:49,HT25TW5055273593c875a9898b00
403,320,0,24/09/2014 11:02:49,ZX1B23QFSP48abead89f52e3bb
403,320,0,24/09/2014 11:02:49,ZX1B23QBS53771758c578bbd85
307,320,0,24/09/2014 11:02:49,YT910K6675876ded0861342065
221,347,0,24/09/2014 11:02:50,TA92903URNf067ff16fcf8e045
514,302,0,24/09/2014 11:02:50,HT25TW5055273593c875a9898b00
274,302,0,24/09/2014 11:02:51,ZX1B23QFSP48abead89f52e3bb
221,347,0,24/09/2014 11:02:52,TA92903URNf067ff16fcf8e045
374,302,0,24/09/2014 11:02:52,HT25TW5055273593c875a9898b00
