Total angle changed vs. Path length from (100, 302) to (330, 323)
Path length (points/sec)
Total angle changed (radians)
0.0,0.38867104,5.0
36.307663,0.6055447,5.0
86.21685,0.047499456,5.0
77.18419,1.2526476,5.0
44.1818,3.1447473,5.0
52.363605,0.0,5.0
0.0,0.19323888,5.0
73.02278,0.7836376,5.0
0.0,0.30405062,5.0
46.212063,0.047499456,5.0
63.966297,2.4939635,5.0
25.359268,1.5772876,5.0
0.0,0.47501075,5.0
0.0,0.4837791,5.0
0.0,0.8634998,5.0
0.0,0.31399876,5.0
0.0,0.0062922277,5.0
52.363605,0.0,5.0
132.43358,0.38204485,5.0
297.966,4.210785,5.0
0.0,0.097726904,5.0
0.0,0.26371184,5.0
53.0,1.1071488,5.0
0.0,1.2298174,5.0
253.28302,1.3337466,5.0
0.0,0.009952678,5.0
0.0,0.5164783,5.0
0.0,0.49934673,5.0
0.0,0.9272952,5.0
98.65597,1.9377563,5.0
0.0,1.1320857,5.0
225.18,0.6055447,5.0
0.0,0.11133888,5.0
32.343063,0.5902077,5.0
